module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.774475;  status:                   0 ; gyro:                        0.03125, -0.0625, 0.046875;  accel:                0.0015, 0.02925, 0.99625; temp:32.096667592741525; mag:          
time:  0.779306;  status:                   0 ; gyro:                        0.03125, -0.0625, 0.046875;  accel:                0.0015, 0.02875, 0.99625; temp:32.096667592741525; mag:          
time:  0.784206;  status:                   0 ; gyro:                       0.015625, -0.0625, 0.046875;  accel:                0.00125, 0.0285, 0.99675; temp:32.096667592741525; mag:          
time:  0.789029;  status:                   0 ; gyro:                         0.015625, -0.0625, 0.0625;  accel:                 0.001, 0.02825, 0.99775; temp:32.096667592741525; mag:          
time:  0.793860;  status:                   0 ; gyro:                          0.0, -0.078125, 0.078125;  accel:                 0.001, 0.02825, 0.99875; temp:32.096667592741525; mag:          
time:  0.798619;  status:                   0 ; gyro:                             0.0, -0.09375, 0.0625;  accel:                    0.001, 0.0285, 0.999; temp:32.096667592741525; mag:          
time:  0.803656;  status:                   0 ; gyro:                             0.0, -0.0625, 0.03125;  accel:                0.0015, 0.02875, 0.99825; temp:32.096667592741525; mag:          
time:  0.808360;  status:                   0 ; gyro:                                0.0, 0.0, 0.015625;  accel:                0.00175, 0.02925, 0.9975; temp:32.096667592741525; mag:          
time:  0.813200;  status:                   0 ; gyro:                                0.0, 0.015625, 0.0;  accel:                 0.002, 0.02925, 0.99675; temp:32.096667592741525; mag:          
time:  0.818032;  status:                   0 ; gyro:                           0.0, 0.015625, 0.015625;  accel:                    0.002, 0.0295, 0.996; temp:32.096667592741525; mag:          
time:  0.822892;  status:                   0 ; gyro:                           0.0, 0.015625, 0.015625;  accel:                  0.00125, 0.029, 0.9955; temp:32.096667592741525; mag:          
time:  0.827708;  status:                   0 ; gyro:                                0.0, 0.0, 0.015625;  accel:                0.00075, 0.0285, 0.99625; temp:32.096667592741525; mag:          
time:  0.832570;  status:                   0 ; gyro:                               -0.015625, 0.0, 0.0;  accel:                  0.0005, 0.0285, 0.9975; temp:32.096667592741525; mag:          
time:  0.837375;  status:                   0 ; gyro:                           -0.0625, -0.015625, 0.0;  accel:                0.00075, 0.0285, 0.99825; temp:32.096667592741525; mag:          
time:  0.842226;  status:                   0 ; gyro:                     -0.09375, -0.046875, 0.015625;  accel:               0.00125, 0.02875, 0.99825; temp:32.096667592741525; mag:          
time:  0.847057;  status:                   0 ; gyro:                     -0.09375, -0.078125, 0.046875;  accel:                 0.00175, 0.029, 0.99775; temp:32.096667592741525; mag:          
time:  0.851891;  status:                   0 ; gyro:                         -0.0625, -0.09375, 0.0625;  accel:                0.00225, 0.0285, 0.99725; temp:32.096667592741525; mag:          
time:  0.856712;  status:                   0 ; gyro:                             0.0, -0.09375, 0.0625;  accel:                 0.00225, 0.028, 0.99675; temp:32.096667592741525; mag:          
time:  0.861581;  status:                   0 ; gyro:                         0.03125, -0.09375, 0.0625;  accel:                   0.002, 0.028, 0.99625; temp:32.096667592741525; mag:          
time:  0.866387;  status:                   0 ; gyro:                      0.078125, -0.078125, 0.03125;  accel:                   0.002, 0.02825, 0.996; temp:32.096667592741525; mag:          
time:  0.871229;  status:                   0 ; gyro:                              0.125, -0.09375, 0.0;  accel:                0.00225, 0.02875, 0.9965; temp:32.096667592741525; mag:          
time:  0.876055;  status:                   0 ; gyro:                            0.15625, -0.09375, 0.0;  accel:                    0.0025, 0.029, 0.997; temp:32.096667592741525; mag:          
time:  0.880916;  status:                   0 ; gyro:                        0.1875, -0.09375, 0.015625;  accel:                  0.0025, 0.02925, 0.997; temp:32.096667592741525; mag:          
time:  0.885729;  status:                   0 ; gyro:                        0.203125, -0.09375, 0.0625;  accel:                   0.0025, 0.0295, 0.996; temp:32.096667592741525; mag:          
time:  0.890589;  status:                   0 ; gyro:                        0.1875, -0.09375, 0.078125;  accel:                 0.002, 0.02975, 0.99575; temp:32.096667592741525; mag:          
time:  0.895386;  status:                   0 ; gyro:                     0.171875, -0.109375, 0.078125;  accel:                  0.00175, 0.03, 0.99675; temp:32.096667592741525; mag:          
